Rank,Country,Airport,City served,Passengers 2023
89,Italy11,Pisa International Airport,Pisa,"5,109,682[95][19]"
90,Luxembourg1,Luxembourg Airport,Luxembourg City,"4,856,932[97]"
91,Italy12,Cagliari Elmas Airport,Cagliari,"4,853,113[19]"
92,Portugal4,Madeira Airport,Santa Cruz,"4,837,000[15]"
93,United Kingdom11,Newcastle Airport,Newcastle upon Tyne,"4,819,969[101][16]"
94,Russia7,Ufa International Airport,Ufa,"4,794,786[102]"
95,Russia8,Mineralnye Vody Airport[note 1],Mineralnye Vody,"4,789,000[107]"
96,Germany8,Hannover Airport,Hannover,"4,599,823[108][22]"
97,Italy13,Turin Airport,Turin,"4,531,187[109]"
98,Lithuania1,Vilnius International Airport,Vilnius,"4,406,019[111][112]"
99,Russia9,Khrabrovo Airport,Kaliningrad,"4,300,625[113]"
100,United Kingdom12,Liverpool John Lennon Airport,Liverpool,"4,193,623[115][16]"
101,Greece5,Corfu International Airport,Corfu,"4,068,053[82]"
